#t	CM_X	CM_Y	0_X	0_Y	0_P	1_X	1_Y	1_P	2_X	2_Y	2_P	3_X	3_Y	3_P	4_X	4_Y	4_P	5_X	5_Y	5_P	6_X	6_Y	6_P	7_X	7_Y	7_P	8_X	8_Y	8_P	9_X	9_Y	9_P	10_X	10_Y	10_P	11_X	11_Y	11_P	12_X	12_Y	12_P	13_X	13_Y	13_P	z_plane
23.44	5678.88	1007.93	5524.55	1017.15	0.83	5572.43	991.08	0.79	5548.23	983.11	0.80	5469.91	1000.78	0.74	5401.82	1005.93	0.77	5549.35	981.75	0.81	5467.94	993.36	0.70	5399.53	1003.87	0.72	5721.98	1025.23	0.86	5839.98	1018.38	0.78	5934.42	952.71	0.70	5721.90	1025.86	0.85	5838.91	1017.62	0.75	5933.79	952.73	0.67	0.00
23.46	5664.23	1010.41	5511.73	1017.45	0.83	5558.58	989.14	0.78	5535.64	981.17	0.82	5456.19	1002.08	0.71	5391.72	1009.62	0.74	5536.78	981.09	0.83	5455.54	996.07	0.70	5389.42	1007.75	0.72	5706.72	1026.75	0.89	5825.23	1031.94	0.80	5915.59	951.12	0.75	5706.34	1027.01	0.87	5824.08	1031.81	0.76	5914.12	951.48	0.71	0.00
23.48	5651.54	1012.73	5501.46	1016.85	0.83	5548.83	988.76	0.80	5525.36	981.07	0.81	5446.15	1003.13	0.73	5381.80	1013.75	0.71	5525.44	980.94	0.82	5444.17	997.94	0.71	5380.39	1011.22	0.73	5693.13	1025.00	0.88	5812.21	1046.54	0.82	5887.44	956.25	0.75	5692.91	1025.62	0.86	5811.70	1046.88	0.74	5884.74	956.51	0.69	0.00
23.50	5638.48	1014.29	5488.07	1019.02	0.84	5536.39	989.04	0.81	5511.48	981.65	0.81	5434.92	1005.10	0.74	5370.31	1017.58	0.70	5510.72	981.18	0.83	5432.59	999.18	0.70	5367.23	1015.08	0.70	5680.19	1021.57	0.89	5799.60	1058.52	0.82	5868.37	962.56	0.71	5679.85	1021.82	0.88	5798.73	1058.94	0.77	5867.23	962.70	0.64	0.00
23.52	5627.09	1015.50	5474.21	1022.36	0.85	5521.85	988.17	0.79	5495.60	982.78	0.81	5421.36	1006.35	0.73	5355.91	1019.60	0.71	5494.92	981.32	0.84	5419.03	1000.10	0.70	5352.55	1017.30	0.70	5670.86	1018.27	0.87	5788.81	1066.93	0.83	5865.73	976.17	0.73	5670.64	1018.43	0.88	5787.88	1067.59	0.77	5862.75	978.61	0.66	0.00
23.54	5613.74	1018.22	5458.64	1025.98	0.86	5506.78	989.70	0.79	5479.22	986.44	0.81	5404.40	1008.45	0.72	5338.27	1019.85	0.72	5479.30	984.36	0.82	5402.67	1000.92	0.69	5335.34	1016.28	0.71	5659.29	1016.27	0.86	5775.27	1075.74	0.81	5857.92	998.75	0.74	5659.21	1016.47	0.88	5773.61	1075.68	0.78	5857.22	999.04	0.68	0.00
23.56	5598.98	1019.00	5442.46	1028.19	0.87	5491.63	990.86	0.82	5461.74	989.04	0.81	5386.71	1009.05	0.72	5320.20	1018.28	0.71	5461.39	987.68	0.82	5385.04	1001.28	0.69	5316.83	1014.47	0.67	5645.88	1013.27	0.86	5756.59	1077.46	0.79	5854.97	1017.83	0.77	5645.60	1013.41	0.87	5755.96	1077.57	0.76	5854.33	1018.20	0.73	0.00
23.58	5588.24	1019.68	5428.93	1030.02	0.88	5478.06	994.98	0.81	5449.59	990.82	0.82	5374.48	1008.47	0.73	5306.15	1015.72	0.71	5448.88	989.58	0.83	5373.83	1000.72	0.70	5305.09	1010.68	0.70	5637.03	1011.80	0.84	5744.68	1071.57	0.77	5854.68	1036.73	0.78	5636.77	1012.06	0.85	5744.29	1072.08	0.72	5854.90	1037.08	0.74	0.00
23.60	5577.02	1018.41	5414.81	1030.20	0.88	5464.61	996.65	0.80	5436.71	991.26	0.82	5362.35	1006.89	0.73	5296.85	1011.71	0.72	5436.11	990.24	0.84	5362.28	1000.20	0.70	5294.42	1007.14	0.69	5626.46	1008.32	0.86	5732.94	1064.55	0.77	5854.93	1052.31	0.76	5626.43	1008.48	0.87	5733.25	1065.21	0.74	5854.36	1053.20	0.75	0.00
23.62	5564.49	1017.88	5401.21	1031.23	0.88	5451.82	998.67	0.81	5424.30	993.30	0.83	5347.79	1005.58	0.74	5282.23	1007.09	0.72	5423.40	991.25	0.85	5348.56	999.29	0.69	5280.69	1004.98	0.67	5613.42	1007.47	0.88	5722.08	1055.85	0.76	5841.84	1067.34	0.79	5613.76	1007.51	0.88	5723.27	1056.52	0.73	5842.39	1067.87	0.77	0.00
23.64	5553.84	1017.52	5388.68	1032.87	0.87	5438.67	1002.01	0.81	5412.28	996.11	0.83	5337.80	1004.82	0.73	5274.13	1002.25	0.74	5413.41	994.40	0.84	5338.78	997.97	0.69	5273.94	1001.34	0.73	5604.56	1006.83	0.87	5713.24	1046.86	0.74	5827.72	1075.83	0.81	5604.68	1007.00	0.87	5713.55	1047.68	0.72	5830.02	1077.40	0.77	0.00
23.66	5544.03	1017.65	5375.41	1033.67	0.87	5427.68	1006.61	0.83	5399.98	997.92	0.83	5324.18	1002.63	0.73	5260.37	998.69	0.72	5401.71	996.75	0.85	5324.81	996.86	0.70	5258.33	996.39	0.72	5596.00	1007.01	0.87	5705.69	1040.14	0.76	5819.76	1078.95	0.77	5596.32	1007.09	0.88	5706.07	1040.52	0.72	5818.58	1079.82	0.71	0.00
23.68	5531.28	1015.89	5363.85	1034.08	0.86	5415.64	1007.20	0.83	5388.19	997.61	0.82	5312.19	1001.25	0.75	5249.92	995.95	0.71	5388.39	996.40	0.85	5313.97	996.01	0.71	5247.13	993.27	0.72	5582.28	1007.71	0.87	5692.68	1031.91	0.76	5807.95	1067.48	0.78	5582.32	1007.72	0.87	5693.07	1032.20	0.73	5807.03	1068.27	0.72	0.00
23.70	5520.62	1013.79	5352.35	1031.50	0.86	5405.50	1005.03	0.82	5379.32	996.55	0.83	5303.37	999.13	0.74	5241.17	992.07	0.71	5380.25	995.78	0.85	5305.07	996.62	0.72	5238.84	991.12	0.72	5572.21	1009.47	0.86	5679.42	1026.83	0.75	5798.45	1050.76	0.80	5572.23	1009.23	0.86	5679.18	1026.82	0.72	5797.40	1051.16	0.75	0.00
23.72	5511.51	1012.99	5341.61	1030.15	0.86	5396.10	1003.48	0.81	5370.36	994.82	0.83	5293.59	997.00	0.74	5229.64	987.88	0.73	5371.21	994.44	0.85	5294.45	998.19	0.72	5226.40	994.90	0.73	5562.13	1012.59	0.87	5672.97	1023.87	0.76	5793.72	1034.96	0.79	5561.74	1012.26	0.86	5672.63	1024.34	0.73	5792.92	1035.23	0.75	0.00
23.74	5502.47	1012.55	5331.90	1026.66	0.84	5384.06	1000.62	0.79	5359.53	991.65	0.82	5283.89	995.80	0.73	5219.96	988.70	0.72	5359.75	990.98	0.85	5284.51	995.90	0.70	5219.08	993.60	0.72	5556.23	1017.11	0.87	5663.75	1023.04	0.77	5781.37	1020.51	0.80	5556.10	1017.04	0.87	5663.24	1023.43	0.74	5780.17	1020.82	0.77	0.00
23.76	5487.70	1012.45	5321.52	1023.17	0.84	5370.31	998.14	0.78	5346.57	989.24	0.81	5271.56	996.85	0.74	5205.60	991.80	0.71	5347.63	988.70	0.82	5272.46	992.31	0.70	5203.64	989.30	0.74	5541.68	1022.38	0.86	5646.22	1022.25	0.77	5759.62	1005.19	0.83	5541.73	1022.42	0.85	5645.69	1022.75	0.74	5758.91	1005.50	0.79	0.00
23.78	5473.94	1014.44	5313.51	1018.47	0.83	5361.41	995.41	0.78	5337.00	986.23	0.78	5262.09	996.81	0.73	5196.96	993.51	0.69	5338.32	985.19	0.80	5263.98	991.10	0.69	5196.25	990.47	0.74	5522.55	1031.33	0.86	5632.45	1025.55	0.78	5743.10	992.58	0.82	5521.96	1031.80	0.85	5632.37	1026.00	0.76	5742.15	992.68	0.80	0.00
23.80	5459.09	1014.71	5305.10	1016.58	0.82	5349.81	990.30	0.79	5325.18	981.02	0.78	5252.65	996.78	0.70	5186.35	996.23	0.73	5325.98	979.63	0.81	5251.56	989.79	0.69	5185.36	993.53	0.71	5502.65	1034.49	0.87	5619.32	1032.38	0.77	5725.29	982.08	0.81	5502.22	1035.70	0.86	5618.82	1032.46	0.77	5724.50	982.04	0.80	0.00
23.82	5449.36	1016.60	5296.27	1013.57	0.83	5341.90	987.57	0.78	5317.29	978.48	0.79	5241.29	998.19	0.69	5176.84	1001.59	0.70	5318.43	977.73	0.81	5240.15	990.14	0.68	5173.91	999.48	0.70	5492.33	1038.55	0.89	5610.75	1041.75	0.80	5707.77	975.56	0.73	5492.14	1039.45	0.89	5609.73	1041.91	0.78	5704.51	977.30	0.73	0.00
23.84	5438.13	1017.14	5286.81	1011.69	0.81	5332.17	984.01	0.79	5309.01	976.86	0.78	5234.14	998.99	0.67	5165.31	1005.06	0.73	5308.97	976.04	0.80	5228.35	988.69	0.69	5164.75	1001.21	0.73	5482.27	1038.35	0.88	5596.70	1051.64	0.80	5685.03	973.56	0.70	5481.99	1039.36	0.87	5596.25	1051.85	0.78	5681.70	976.53	0.66	0.00
23.86	5428.11	1018.38	5277.13	1011.51	0.81	5322.80	981.46	0.81	5300.36	976.33	0.79	5224.55	999.26	0.67	5153.22	1007.83	0.71	5300.24	975.28	0.80	5216.52	988.26	0.68	5149.94	1003.66	0.70	5474.18	1036.81	0.85	5584.83	1063.54	0.81	5666.73	978.78	0.77	5473.47	1038.17	0.84	5584.02	1064.46	0.77	5665.77	979.69	0.69	0.00
23.88	5416.06	1019.09	5263.90	1012.43	0.81	5313.23	981.30	0.82	5288.82	976.62	0.79	5210.52	1000.54	0.67	5140.14	1009.41	0.67	5288.02	975.26	0.80	5203.56	987.94	0.67	5137.22	1005.34	0.71	5461.24	1030.68	0.82	5572.04	1075.10	0.82	5651.50	993.20	0.73	5461.07	1032.26	0.82	5571.43	1075.59	0.80	5650.64	993.32	0.66	0.00
23.90	5404.45	1019.11	5250.08	1013.47	0.81	5301.34	982.60	0.82	5276.16	977.48	0.79	5194.26	1001.51	0.68	5127.63	1009.44	0.68	5275.85	976.24	0.81	5190.98	988.32	0.68	5124.99	1004.52	0.72	5450.54	1023.79	0.81	5558.93	1082.54	0.84	5648.38	1005.12	0.81	5450.27	1025.25	0.80	5557.40	1083.31	0.80	5647.08	1006.30	0.77	0.00
23.92	5394.05	1019.89	5237.80	1015.54	0.81	5289.00	985.34	0.82	5264.70	979.46	0.79	5183.11	1001.62	0.69	5116.93	1008.44	0.70	5265.01	978.84	0.81	5180.14	987.94	0.68	5112.84	1001.97	0.72	5441.66	1019.39	0.83	5546.80	1086.12	0.81	5645.97	1025.20	0.77	5441.26	1019.99	0.84	5545.91	1086.10	0.80	5645.30	1025.41	0.73	0.00
23.94	5378.67	1019.01	5221.76	1017.80	0.84	5271.90	986.52	0.82	5246.88	980.33	0.80	5168.50	998.65	0.67	5100.43	1003.76	0.70	5246.96	979.52	0.81	5164.37	988.11	0.68	5097.39	998.69	0.71	5424.13	1014.34	0.86	5534.10	1083.42	0.79	5644.50	1043.72	0.80	5423.85	1014.99	0.86	5533.94	1083.65	0.77	5644.44	1044.21	0.78	0.00
23.96	5366.48	1018.21	5206.70	1020.91	0.84	5258.38	988.55	0.83	5232.05	982.25	0.80	5151.73	997.27	0.68	5084.74	1000.51	0.69	5231.74	981.11	0.82	5148.98	987.50	0.66	5081.18	996.02	0.71	5415.76	1011.58	0.84	5518.39	1075.13	0.79	5636.34	1061.40	0.79	5415.04	1012.25	0.85	5518.44	1075.27	0.76	5636.20	1061.96	0.80	0.00
23.98	5353.55	1016.39	5192.65	1023.41	0.83	5243.87	990.15	0.83	5217.52	985.05	0.79	5140.20	996.42	0.69	5072.40	997.40	0.69	5217.54	983.58	0.81	5137.14	988.02	0.64	5071.33	991.40	0.73	5404.48	1008.07	0.83	5504.14	1064.24	0.76	5622.98	1074.83	0.83	5404.42	1008.64	0.83	5503.94	1064.93	0.73	5623.27	1075.68	0.82	0.00
24.00	5345.08	1016.30	5181.98	1024.73	0.83	5233.84	991.91	0.83	5205.75	987.21	0.78	5128.18	996.60	0.70	5061.10	994.23	0.66	5205.50	985.05	0.80	5127.80	986.79	0.63	5055.54	987.58	0.71	5396.32	1007.90	0.85	5499.38	1058.88	0.76	5616.13	1084.19	0.81	5396.30	1008.06	0.86	5499.18	1059.36	0.72	5615.79	1085.01	0.76	0.00
24.02	5331.49	1013.46	5168.09	1024.72	0.83	5220.24	993.53	0.83	5192.33	987.89	0.77	5116.53	994.56	0.71	5051.20	989.48	0.73	5192.26	985.82	0.79	5117.88	985.14	0.65	5047.51	982.22	0.72	5380.98	1005.10	0.85	5487.02	1045.79	0.73	5600.51	1086.28	0.82	5380.97	1005.18	0.85	5489.59	1047.23	0.71	5602.06	1086.83	0.76	0.00
24.04	5319.98	1012.70	5154.56	1024.49	0.81	5206.78	995.24	0.82	5179.14	988.78	0.77	5103.37	993.13	0.71	5037.16	985.19	0.69	5179.75	987.52	0.79	5104.69	984.56	0.63	5032.71	978.19	0.77	5369.79	1006.72	0.87	5479.40	1038.20	0.75	5595.97	1081.79	0.83	5369.57	1006.74	0.87	5479.35	1038.57	0.71	5594.39	1082.60	0.77	0.00
24.06	5306.06	1011.16	5143.69	1023.60	0.81	5195.23	996.82	0.82	5167.49	988.69	0.77	5093.08	991.21	0.70	5026.30	981.41	0.69	5167.84	987.47	0.79	5095.22	983.64	0.64	5024.73	974.68	0.76	5353.30	1007.41	0.87	5462.87	1031.42	0.73	5582.32	1065.59	0.80	5353.05	1007.44	0.87	5464.76	1032.42	0.69	5581.36	1066.15	0.76	0.00
24.08	5298.17	1009.52	5133.13	1022.35	0.81	5185.06	993.98	0.82	5156.91	987.47	0.76	5083.70	989.85	0.70	5017.56	979.53	0.70	5157.53	985.57	0.78	5084.51	981.97	0.63	5014.53	972.93	0.74	5344.53	1010.21	0.88	5460.17	1026.93	0.76	5583.21	1051.54	0.83	5344.33	1009.97	0.87	5460.83	1027.33	0.72	5582.39	1052.11	0.78	0.00
24.10	5289.63	1008.59	5125.80	1018.31	0.81	5179.36	991.66	0.82	5149.07	982.92	0.76	5072.17	988.23	0.69	5010.08	978.98	0.69	5149.85	980.36	0.79	5074.11	979.83	0.65	5005.87	974.39	0.73	5335.55	1013.41	0.88	5448.96	1025.57	0.77	5573.01	1035.99	0.83	5335.44	1013.74	0.87	5449.22	1025.91	0.73	5571.95	1036.21	0.78	0.00
24.12	5275.29	1007.25	5112.61	1012.27	0.82	5163.02	987.40	0.81	5135.30	977.22	0.79	5056.76	985.12	0.69	4992.56	977.73	0.70	5136.45	974.89	0.82	5056.98	976.38	0.65	4989.12	973.64	0.73	5319.95	1017.76	0.87	5438.62	1024.14	0.78	5565.24	1021.35	0.82	5319.71	1018.16	0.87	5438.72	1024.38	0.75	5564.43	1021.53	0.78	0.00
24.14	5267.02	1007.05	5106.62	1008.60	0.83	5155.25	985.99	0.79	5130.50	974.11	0.78	5052.45	984.44	0.70	4986.42	978.45	0.71	5131.97	973.18	0.81	5052.37	976.05	0.65	4984.47	975.84	0.76	5312.07	1021.88	0.88	5428.93	1023.86	0.79	5548.13	1005.28	0.83	5311.81	1022.02	0.88	5428.82	1023.88	0.75	5547.32	1005.52	0.80	0.00
24.16	5255.07	1008.63	5099.61	1005.60	0.82	5148.49	984.80	0.78	5124.57	972.35	0.79	5045.88	983.16	0.70	4978.72	979.68	0.73	5124.53	970.94	0.82	5046.39	976.05	0.66	4979.19	978.95	0.73	5295.37	1028.13	0.87	5415.43	1026.77	0.78	5531.99	994.01	0.84	5295.11	1028.37	0.86	5414.87	1026.95	0.76	5531.13	994.26	0.81	0.00
24.18	5242.99	1009.61	5090.86	1001.54	0.79	5138.70	981.97	0.77	5114.09	970.34	0.76	5035.07	983.43	0.71	4969.89	983.65	0.73	5116.26	969.25	0.78	5035.84	974.61	0.64	4968.48	980.85	0.76	5279.92	1031.91	0.87	5406.05	1033.88	0.80	5514.20	983.31	0.81	5279.69	1032.31	0.86	5405.50	1033.96	0.79	5513.35	983.40	0.81	0.00
24.20	5231.53	1010.15	5081.06	1000.75	0.79	5129.12	980.00	0.77	5103.71	969.08	0.76	5024.20	983.42	0.71	4959.95	986.21	0.73	5105.89	968.22	0.79	5023.93	974.64	0.65	4957.60	983.52	0.70	5268.23	1031.54	0.88	5393.63	1042.27	0.81	5496.02	976.84	0.79	5267.97	1032.10	0.86	5392.59	1042.61	0.78	5495.30	978.24	0.78	0.00
24.22	5221.90	1010.78	5072.40	998.19	0.81	5121.88	978.21	0.79	5095.84	968.38	0.77	5014.34	982.92	0.71	4947.41	988.40	0.71	5097.20	967.75	0.78	5012.18	976.65	0.68	4944.05	987.62	0.72	5258.14	1030.54	0.89	5383.73	1052.08	0.83	5478.14	973.71	0.76	5257.96	1031.06	0.88	5382.98	1052.77	0.80	5477.43	973.92	0.75	0.00
24.24	5210.98	1010.70	5060.48	998.58	0.81	5109.99	975.39	0.79	5083.36	967.05	0.78	5003.21	984.02	0.72	4936.61	991.19	0.71	5084.24	966.60	0.79	5000.60	977.51	0.69	4933.11	989.53	0.74	5250.13	1025.21	0.88	5371.80	1064.45	0.83	5458.95	976.96	0.77	5249.90	1025.66	0.87	5371.03	1065.66	0.77	5457.95	979.26	0.70	0.00
24.26	5201.32	1012.00	5050.75	998.74	0.82	5100.42	974.03	0.80	5074.01	966.76	0.78	4994.54	984.34	0.72	4925.42	993.01	0.70	5076.20	966.00	0.79	4990.94	977.89	0.68	4922.85	989.24	0.74	5242.88	1022.15	0.86	5358.43	1076.43	0.83	5444.16	991.34	0.77	5242.91	1022.49	0.86	5357.47	1076.87	0.80	5443.18	990.94	0.71	0.00
24.28	5190.90	1013.32	5039.69	1001.00	0.83	5092.05	976.51	0.81	5065.52	967.57	0.80	4986.21	984.60	0.72	4918.50	992.83	0.71	5066.14	966.79	0.80	4982.58	977.84	0.68	4914.24	989.20	0.74	5230.84	1017.76	0.85	5346.40	1082.47	0.83	5438.68	1008.85	0.80	5230.66	1018.02	0.87	5345.03	1083.27	0.79	5437.46	1008.75	0.77	0.00
24.30	5180.98	1013.55	5027.07	1003.84	0.84	5081.55	977.02	0.82	5052.68	969.00	0.81	4972.56	983.91	0.73	4906.72	990.45	0.70	5053.60	968.26	0.82	4971.23	978.10	0.69	4903.85	986.81	0.72	5223.26	1013.25	0.85	5331.95	1085.05	0.80	5436.83	1029.54	0.76	5222.93	1013.45	0.87	5331.43	1085.51	0.80	5437.12	1029.50	0.75	0.00
24.32	5168.69	1011.36	5012.16	1005.74	0.86	5064.62	975.79	0.80	5036.55	969.27	0.83	4958.00	982.64	0.75	4891.55	986.32	0.73	5037.12	968.22	0.84	4958.38	979.10	0.69	4891.61	985.03	0.69	5214.23	1006.82	0.85	5319.27	1080.59	0.78	5433.30	1048.84	0.77	5213.76	1007.42	0.86	5319.61	1080.85	0.77	5433.36	1049.42	0.77	0.00
24.34	5156.82	1008.69	4998.52	1006.40	0.87	5050.06	974.03	0.77	5024.55	968.84	0.83	4947.00	980.30	0.77	4877.87	981.18	0.73	5025.78	968.42	0.84	4946.83	979.29	0.73	4878.63	983.45	0.72	5203.16	1003.05	0.85	5307.70	1071.14	0.79	5429.06	1064.68	0.79	5202.77	1003.45	0.85	5308.83	1071.64	0.78	5429.26	1065.93	0.79	0.00
24.36	5142.24	1005.67	4984.08	1006.49	0.87	5036.83	973.09	0.78	5010.62	969.11	0.83	4932.57	979.78	0.75	4862.65	978.61	0.73	5011.47	968.00	0.83	4932.43	977.58	0.73	4861.38	978.79	0.70	5188.72	998.84	0.84	5291.42	1060.69	0.78	5414.21	1078.35	0.81	5188.61	998.88	0.85	5291.14	1061.12	0.75	5413.74	1079.71	0.79	0.00
24.38	5131.35	1003.56	4971.63	1007.00	0.87	5025.90	974.20	0.78	4998.06	970.25	0.83	4921.02	978.75	0.75	4853.10	976.33	0.73	4998.68	969.44	0.84	4921.16	975.31	0.72	4851.63	973.16	0.74	5177.24	995.91	0.83	5282.34	1050.05	0.75	5400.20	1086.65	0.83	5177.13	996.27	0.85	5284.35	1051.70	0.72	5400.10	1087.28	0.79	0.00
24.40	5121.41	1002.88	4959.92	1006.65	0.86	5016.07	977.80	0.82	4986.65	971.13	0.82	4908.57	976.34	0.76	4842.29	972.43	0.69	4987.07	970.51	0.83	4908.74	972.44	0.71	4837.92	968.57	0.73	5166.44	996.67	0.83	5276.55	1041.04	0.77	5392.02	1087.49	0.82	5166.12	996.87	0.86	5276.70	1041.24	0.74	5390.83	1088.27	0.75	0.00
24.42	5112.76	1000.22	4948.31	1004.68	0.85	5003.90	977.26	0.81	4975.57	970.54	0.81	4902.09	974.42	0.76	4835.80	967.38	0.74	4975.87	969.82	0.82	4901.52	971.95	0.72	4832.66	962.70	0.71	5160.20	996.59	0.85	5268.52	1031.22	0.73	5383.92	1079.50	0.80	5160.10	996.85	0.87	5269.22	1031.15	0.71	5381.89	1079.26	0.72	0.00
24.44	5103.35	998.23	4938.10	1004.02	0.84	4993.06	978.59	0.81	4964.97	970.80	0.80	4888.34	973.47	0.75	4824.47	965.68	0.72	4965.37	969.75	0.81	4889.92	966.09	0.70	4821.10	959.57	0.76	5150.83	997.58	0.85	5261.99	1021.98	0.75	5377.12	1063.07	0.79	5150.96	997.74	0.87	5261.93	1022.66	0.71	5375.77	1063.51	0.76	0.00
24.46	5094.16	996.87	4926.24	1001.31	0.84	4981.42	977.31	0.81	4953.18	969.32	0.80	4876.67	971.51	0.76	4808.74	963.72	0.72	4954.37	968.84	0.81	4877.55	962.91	0.70	4806.00	956.76	0.77	5142.04	999.60	0.86	5256.10	1018.40	0.75	5375.12	1050.46	0.83	5142.22	999.58	0.87	5256.13	1018.80	0.73	5374.40	1050.87	0.78	0.00
24.48	5087.33	994.79	4918.71	998.37	0.83	4972.38	975.34	0.80	4945.39	967.52	0.78	4867.62	970.54	0.77	4801.72	962.94	0.72	4945.85	965.97	0.79	4869.63	959.46	0.71	4800.37	955.44	0.78	5137.89	1000.81	0.86	5248.28	1014.15	0.77	5368.37	1034.59	0.82	5137.88	1000.76	0.85	5248.16	1014.54	0.76	5368.02	1034.83	0.78	0.00
24.50	5076.64	992.29	4909.93	995.37	0.84	4961.48	970.27	0.81	4935.29	960.17	0.79	4859.77	968.24	0.76	4793.52	961.47	0.72	4936.30	958.29	0.82	4860.26	956.79	0.71	4793.72	955.66	0.78	5126.60	1002.82	0.84	5236.79	1011.39	0.77	5359.70	1017.85	0.81	5126.47	1002.82	0.83	5236.96	1011.79	0.75	5358.97	1018.16	0.78	0.00
24.52	5068.69	991.77	4903.86	990.11	0.81	4955.34	966.85	0.82	4929.45	957.59	0.79	4853.04	967.16	0.72	4790.37	962.27	0.71	4930.40	954.80	0.82	4853.04	955.86	0.69	4788.85	956.49	0.77	5118.27	1008.05	0.85	5226.76	1010.58	0.75	5346.62	1001.95	0.84	5117.84	1008.23	0.84	5227.44	1010.63	0.73	5346.11	1002.13	0.81	0.00
24.54	5055.87	992.32	4896.18	985.26	0.81	4944.54	966.71	0.80	4921.40	953.24	0.79	4842.77	963.98	0.72	4779.64	961.42	0.72	4922.58	951.25	0.82	4844.14	955.88	0.69	4777.48	959.81	0.75	5100.57	1012.23	0.83	5216.83	1011.80	0.77	5336.44	989.46	0.83	5100.14	1012.60	0.80	5216.21	1011.85	0.76	5335.71	989.97	0.80	0.00
24.56	5041.60	991.59	4887.78	980.85	0.80	4932.91	961.37	0.78	4911.30	949.83	0.78	4833.98	962.43	0.73	4768.66	963.91	0.75	4911.71	948.40	0.80	4834.12	954.48	0.69	4768.01	961.19	0.76	5082.39	1014.34	0.84	5202.38	1017.33	0.78	5319.69	978.50	0.81	5082.10	1014.67	0.82	5201.87	1017.10	0.75	5319.23	978.67	0.81	0.00
24.58	5030.21	991.68	4880.55	979.17	0.82	4924.27	957.81	0.78	4901.08	947.63	0.77	4823.26	962.22	0.73	4759.10	964.97	0.75	4902.73	946.05	0.79	4822.25	953.23	0.68	4756.75	963.45	0.73	5067.88	1015.12	0.85	5192.79	1024.85	0.79	5303.36	968.50	0.75	5067.58	1015.57	0.83	5192.04	1025.80	0.78	5302.66	968.94	0.78	0.00
24.60	5021.54	990.87	4871.38	977.22	0.85	4916.82	953.04	0.79	4893.01	943.42	0.77	4816.99	961.13	0.72	4750.20	965.89	0.76	4893.24	941.13	0.79	4814.99	954.54	0.67	4748.86	964.89	0.72	5060.73	1012.16	0.84	5181.43	1035.77	0.81	5286.75	962.80	0.80	5060.32	1013.44	0.82	5180.80	1036.04	0.78	5285.61	962.96	0.80	0.00
24.62	5013.01	991.14	4862.91	976.46	0.85	4907.70	950.37	0.79	4884.85	940.70	0.78	4807.45	960.75	0.73	4743.30	966.74	0.74	4885.59	939.82	0.81	4806.82	953.26	0.67	4742.64	963.46	0.68	5054.90	1009.71	0.83	5172.12	1047.04	0.81	5265.64	963.50	0.79	5054.59	1010.62	0.81	5170.94	1047.38	0.77	5264.85	964.13	0.72	0.00
24.64	5003.98	991.23	4853.57	975.79	0.84	4901.31	948.03	0.79	4877.37	939.82	0.81	4797.71	960.56	0.71	4733.01	967.95	0.73	4876.97	938.96	0.82	4797.28	950.28	0.67	4729.05	963.76	0.67	5047.28	1005.54	0.81	5159.62	1057.53	0.82	5247.17	971.62	0.76	5046.95	1006.35	0.80	5158.55	1057.63	0.79	5246.17	974.84	0.69	0.00
24.66	4994.33	992.32	4840.88	975.50	0.84	4893.56	948.51	0.80	4868.46	939.94	0.81	4786.71	960.72	0.71	4719.05	968.37	0.74	4868.08	939.05	0.82	4784.48	949.84	0.66	4715.49	963.45	0.71	5038.55	1002.15	0.82	5147.78	1066.57	0.84	5236.76	985.96	0.77	5038.15	1002.38	0.82	5146.45	1066.86	0.79	5235.93	985.88	0.73	0.00
24.68	4982.59	992.27	4829.11	976.81	0.84	4882.58	948.32	0.81	4856.30	939.90	0.80	4775.32	960.22	0.70	4710.66	966.58	0.76	4856.02	938.33	0.82	4772.01	948.55	0.67	4708.80	960.20	0.74	5026.67	997.84	0.82	5132.45	1069.49	0.81	5231.19	1004.92	0.78	5026.50	998.24	0.84	5131.76	1069.39	0.80	5230.43	1004.77	0.75	0.00
24.70	4972.31	991.22	4815.24	978.19	0.84	4871.24	948.28	0.82	4843.32	941.01	0.80	4762.55	958.91	0.70	4698.24	961.96	0.73	4842.97	939.39	0.82	4760.74	948.31	0.65	4693.90	955.37	0.74	5018.92	992.80	0.84	5119.00	1066.90	0.79	5227.88	1024.61	0.78	5018.29	993.75	0.86	5119.34	1067.18	0.78	5227.90	1024.70	0.77	0.00
24.72	4960.16	988.60	4799.83	979.35	0.85	4856.30	949.98	0.82	4828.94	942.89	0.79	4750.81	956.13	0.71	4683.36	957.29	0.73	4828.09	941.04	0.81	4747.99	948.28	0.64	4680.90	950.23	0.75	5008.80	984.81	0.85	5105.92	1060.63	0.78	5223.76	1042.30	0.83	5008.41	985.29	0.85	5106.56	1060.92	0.76	5223.75	1042.96	0.80	0.00
24.74	4950.67	986.86	4786.01	979.36	0.85	4846.05	950.75	0.81	4819.14	944.05	0.79	4738.74	952.92	0.74	4669.43	951.95	0.74	4818.78	941.71	0.80	4738.39	944.59	0.64	4665.84	944.56	0.72	4999.22	982.12	0.85	5100.04	1052.33	0.81	5216.44	1055.37	0.79	4998.64	982.46	0.85	5100.26	1053.00	0.79	5216.71	1056.34	0.77	0.00
